Condition,Pair number,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment (verb attached - VA, noun attached - NA",Unambiguous?
1,1,11,Der,Akrobat,beobachtet,den,Clown,mit,dem,elastischen,Hammer,NA,0
1,1,11,Der,Akrobat,verprügelt,den,Clown,mit,dem,elastischen,Hammer,VA,0
1,2,12,Das,Amt,belohnt,einen,Arbeiter,mit,einer,höheren,Position,VA,0
1,2,12,Das,Amt,empfiehlt,einen,Arbeiter,mit,einer,höheren,Position,NA,1
1,3,13,Die,Angestellte,besucht,die,Sitzung,mit,den,berühmten,Vertretern,NA,0
1,3,13,Die,Angestellte,diskutiert,die,Sitzung,mit,den,berühmten,Vertretern,VA,0
1,4,14,Der,Architekt,erstellt,das,Modell,mit,der,verstaubten,Technik,VA,0
1,4,14,Der,Architekt,verspottet,das,Modell,mit,der,verstaubten,Technik,NA,0
1,5,15,Der,Chirurg,bemerkt,den,Kranken,mit,einem,scharfen,Skalpell,NA,0
1,5,15,Der,Chirurg,operiert,den,Kranken,mit,einem,scharfen,Skalpell,VA,0
1,6,16,Der,Bänker,belästigt,den,Fahrer,mit,der,kubanischen,Zigarre,VA,0
1,6,16,Der,Bänker,engagiert,den,Fahrer,mit,der,kubanischen,Zigarre,NA,0
1,7,17,Die,Barfrau,mischt,den,Gin,mit,dem,kalten,Tonic,VA,0
1,7,17,Die,Barfrau,verteilt,den,Gin,mit,dem,kalten,Tonic,NA,0
1,8,18,Die,Bassistin,verziert,ihr,Shirt,mit,dem,grauen,Muster,VA,0
1,8,18,Die,Bassistin,wäscht,ihr,Shirt,mit,dem,grauen,Muster,NA,1
1,9,19,Der,Beamte,koordiniert,die,Aktivitäten,mit,seinen,chaotischen,Assistenten,VA,0
1,9,19,Der,Beamte,vermerkt,die,Aktivitäten,mit,seinen,chaotischen,Assistenten,NA,0
1,10,110,Die,Behörde,berät,den,Patienten,mit,einem,künstlichen,Katheter,NA,0
1,10,110,Die,Behörde,versorgt,den,Patienten,mit,einem,künstlichen,Katheter,VA,0
1,11,111,Der,Beirat,besetzt,die,Ämter,mit,den,besten,Arbeitern,VA,0
1,11,111,Der,Beirat,sucht,die,Ämter,mit,den,besten,Arbeitern,NA,0
1,12,112,Der,Bote,erblickt,das,Paket,mit,dem,kleinen,Fahrrad,NA,1
1,12,112,Der,Bote,liefert,das,Paket,mit,dem,kleinen,Fahrrad,VA,0
1,13,113,Der,Busfahrer,öffnet,die,Tür,mit,einem,veralteten,Druckknopf,VA,0
