Det	N0	Verb	Det	N1	Prep	Det	Adj	N2	condition	pair_number	ID	Attachment	verb_number	Question	Answer										
Der	Kandidat	erfreut	die	Kandidatin	mit	einem	strahlenden	Lächeln.	1	128	1128	VA	65	Wer hat das strahlende Lächeln?	Kandidat/Kandidatin										
Der	Bote	markiert	die	Kisten	mit	dem	gelben	Etikett.	1	107	1107	VA	112												
Der	arrogante	Minister	besuchte	die	Universität	in	den	Staaten.	3	96	396	NaN	0												
Die	Urlauberin	quält	die	Mücke	mit	dem	aggressiven	Mückenspray.	2	102	2102	VA	120												
Der	Rahmen	hing	erst	schief	und	fiel	dann	runter.	3	80	380	NaN	0												
Die	Fackel	brannte	mit	lodernden	Flammen	eine	ganze	Woche.	3	85	385	NaN	0												
Die	veralteten	Kontodaten	sollten	von	allen	Beteiligten	gelöscht	werden.	3	82	382	NaN	0												
Die	Wühlmaus	befühlt	die	Schnecke	mit	den	wendigen	Fühlern.	2	98	298	NA	16												
Der	Dirigent	folgt	dem	Musiker	mit	der	lieblichen	Geige.	2	23	223	NA	87												
Das	Fräulein	beschützt	das	Einhorn	mit	dem	leuchtenden	Horn.	2	74	274	NA	36												
Der	Casanova	hatte	viel	Geld	und	kaufte	edle	Schuhe.	3	42	342	NaN	0												
Der	Sekretär	schreibt	das	Protokoll	mit	der	schönen	Handschrift.	1	84	184	VA	131												
Der	Kaiser	erheitert	den	Hofnarr	mit	der	bunten	Perücke.	2	39	239	NA	66												
Die	Bäuerin	liebkost	die	Miezekatze	mit	den	rosa	Pfoten.	2	99	299	NA	107												
Der	Arzt	ermuntert	den	Säugling	mit	einem	flauschigen	Teddy.	1	113	1113	VA	68												
Das	Kind	verängstigt	das	Insekt	mit	dem	giftigen	Stachel.	2	69	269	NA	145												
Das	Alibi	der	drei	Ganoven	löst	nicht	alle	Probleme.	3	41	341	NaN	0												
Die	Landwirte	umfahren	die	Wiesen	mit	den	stacheligen	Zäunen.	1	54	154	NA	143												
Das	Mädchen	umarmt	das	Maskottchen	mit	den	pelzigen	Armen.	2	16	216	NA	142												
Die	Zahnfee	überrascht	die	Tochter	mit	dem	wackeligen	Zahn.	2	15	215	NA	5	Wer wird überrascht?	Tochter/Zahnfee										
Der	Papagei	ärgert	den	Pilger	mit	dem	spitzen	Schnabel.	2	10	210	VA	2	Wer wird geärgert?	Pilger/Papagei										
Die	Schülerin	zeigt	die	Klausur	mit	nur	wenigen	Fehlern.	1	82	182	NA	190												
Das	Einkochen	von	Obst	verlangt	nach	großen	zuckrigen	Kristallen.	3	44	344	NaN	0												
Die	Indianer	bekriegen	die	Soldaten	mit	den	vergifteten	Pfeilen.	2	62	262	VA	22												
Die	Reiterin	empfiehlt	ein	Pferd	mit	einem	neuen	Sattel.	1	79	179	NA	60												
Die	Züchterin	schlägt	das	Tier	mit	der	kurzen	Leine.	1	100	1100	VA	129												
Das	Pony	berührt	das	Kleinkind	mit	der	weichen	Schnauze.	2	35	235	VA	32												
Die	Forscher	finden	in	den	Proben	Rückstände	giftiger	Substanzen.	3	53	353	NaN	0												
Die	Chefin	gratuliert	dem	Mitarbeiter	mit	der	faltbaren	Karte.	1	110	1110	VA	92	Wem wird gratuliert?	Mitarbeiter/Chefin										
Der	Krieger	trifft	den	Hirsch	mit	dem	klobigen	Gewehr.	2	8	28	VA	141												
Die	Blinde	verehrt	das	Wesen	mit	den	zarten	Fingern.	1	115	1115	NA	150	Wer hat zarte Finger?	Wesen/Blinde										
Der	Laden	wird	samstags	geschlossen	aber	hat	Montag	auf.	3	1	31	NaN	0	Wann ist der Laden geschlossen?	Samstag/Montag										
Der	Kassierer	erreicht	den	Käufer	mit	dem	vollen	Wagen.	2	60	260	NA	71												
Der	Bauarbeiter	begegnet	dem	Milliardär	mit	dem	teuren	Cabrio.	2	45	245	NA	17												
Die	Robbe	bespritzt	die	Animateurin	mit	dem	vollen	Eimer.	2	9	29	NA	43	Wer hat den Eimer?	Animateurin/Robbe										
Der	Koch	würzt	den	Salat	mit	den	lokalen	Kräutern.	1	44	144	VA	186												
Der	Maler	bemalt	die	Wand	mit	der	frischen	Farbe.	1	111	1111	VA	26												
Die	Betreuer	geleiten	die	Senioren	mit	den	klapprigen	Rollatoren.	2	25	225	NA	89	Wer hat Rollatoren?	Senioren/Betreuer										
Die	leeren	Flaschen	dienen	zur	Dekoration	auf	dem	Nachttisch.	3	3	33	NaN	0	Was dient zur Dekoration?	Flaschen/Nachttisch										
Das	Bier	schmeckt	nach	Gerste	aber	der	Whisky	nicht.	3	9	39	NaN	0	Was schmeckt nach Gerste?	Whisky/Bier										
Der	Wilderer	schlägt	die	tobenden	Raubkatzen	in	die	Flucht.	3	18	318	NaN	0	Wer flieht?	Raubkatzen/Wilderer										
Der	Verbrecher	bevorzugt	den	Anwalt	mit	den	cleveren	Ausreden.	1	97	197	NA	47												
Der	Radler	behindert	den	Bauer	mit	dem	dreckigen	Trecker.	2	80	280	NA	19												
Die	Zitronen	kosten	wenig	und	können	die	Gesundheit	schützen.	3	43	343	NaN	0												
Die	Aktivisten	gehen	weiter	und	helfen	ihren	Mitgliedern	praktisch.	3	16	316	NaN	0	Wem wird geholfen?	Mitgliedern/Aktivisten										
Das	Rind	attackiert	das	Publikum	mit	den	spitzen	Hörnern.	2	73	273	VA	9	Wer wird attackiert?	Publikum/Rind										
Die	Schülerin	schreibt	die	Klausur	mit	nur	wenigen	Fehlern.	1	82	182	VA	131												
Der	Violinist	begleitet	den	Sänger	mit	seiner	kostbaren	Violine.	2	82	282	VA	21												
Der	Schüler	kitzelt	den	Kater	mit	dem	weißen	Schnurrhaar.	2	11	211	NA	103	Wer wird gekitzelt?	Kater/Schüler										
Die	seltenen	Libellen	stellen	ihre	gemusterten	Flügel	zur	Schau.	3	29	329	NaN	0												
Die	Cousine	erneuert	den	Raumduft	mit	einem	handlichen	Nachfüller.	1	106	1106	VA	69												
Das	Lied	wurde	von	beiden	Künstlern	aufgenommen	und	produziert.	3	13	313	NaN	0	Was wurde aufgenommen?	Lied/Künstler										
Der	Tagelöhner	möchte	so	wenig	Steuern	wie	möglich	zahlen.	3	54	354	NaN	0												
Der	Kunde	benötigt	einen	Computer	mit	einer	modernen	Tastatur.	1	50	150	NA	28												
Die	Soldaten	bekriegen	die	Indianer	mit	den	vergifteten	Pfeilen.	2	62	262	NA	22	Wer hat vergiftete Pfeile?	Indianer/Soldaten										
Der	Staat	zählt	die	Haushalte	mit	einem	robusten	Stromnetz.	1	87	187	NA	189												
Der	Rektor	der	den	Azubi	bestraft	ist	sehr	vernünftig.	3	27	327	NaN	0	Wer wird bestraft?	Azubi/Rektor										
