Condition,Pair number,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment (verb attached - VA, noun attached - NA",Unambiguous?
1,51,151,Die,Kundin,bezahlt,die,Kellnerin,mit,den,unhöflichen,Manieren,NA,0
1,51,151,Die,Kundin,verärgert,die,Kellnerin,mit,den,unhöflichen,Manieren,VA,0
1,52,152,Die,Künstlerin,verziert,das,Geschirr,mit,den,blauen,Punkten,VA,0
1,52,152,Die,Künstlerin,wäscht,das,Geschirr,mit,den,blauen,Punkten,NA,1
1,53,153,Der,Kurier,befördert,die,Zeitung,mit,dem,heutigen,Datum,NA,1
1,53,153,Der,Kurier,markiert,die,Zeitung,mit,dem,heutigen,Datum,VA,0
1,54,154,Die,Landwirte,sperren,die,Wiesen,mit,den,stacheligen,Zäunen,VA,0
1,54,154,Die,Landwirte,umfahren,die,Wiesen,mit,den,stacheligen,Zäunen,NA,1
1,55,155,Der,Lehrer ,gießt,die ,Palme,mit,dem ,braunen,Kübel,VA,0
1,55,155,Der,Lehrer ,kauft,die ,Palme,mit,dem ,braunen,Kübel,NA,0
1,56,156,Die,Lehrerin,besorgt,die,Pflanze,mit,der,grünen,Gießkanne,NA,0
1,56,156,Die,Lehrerin,wässert,die,Pflanze,mit,der,grünen,Gießkanne,VA,0
1,57,157,Der,Lieferant,bestückt,die,Fracht,mit,den,erlesenen,Materialien,VA,0
1,57,157,Der,Lieferant,bringt,die,Fracht,mit,den,erlesenen,Materialien,NA,1
1,58,158,Die ,Löwin,bewohnt,die,Oase,mit,ihren,zahlreichen,Artgenossen,VA,0
1,58,158,Die ,Löwin,vermisst,die,Oase,mit,ihren,zahlreichen,Artgenossen,NA,0
1,59,159,Der,Makler,vergleicht,das,Angebot,mit,den,edlen,Immobilien,VA,0
1,59,159,Der,Makler,verkauft,das,Angebot,mit,den,edlen,Immobilien,NA,1
1,60,160,Der,Mediziner,bemerkt,die,Frau,mit,einem,grünen,Mundschutz,NA,1
1,60,160,Der,Mediziner,operiert,die,Frau,mit,einem,grünen,Mundschutz,VA,0
1,61,161,Die,Ministerin,formt,eine,Beziehung,mit,der,fremden,Regierung,VA,0
1,61,161,Die,Ministerin,schätzt,eine,Beziehung,mit,der,fremden,Regierung,NA,0
1,62,162,Die ,Nachbarin,ignoriert,den ,Schrank,mit,dem,goldenen,Schlüssel,NA,1
1,62,162,Die ,Nachbarin,verriegelt,den ,Schrank,mit,dem,goldenen,Schlüssel,VA,0
1,63,163,Die,Nichte,meidet,die,Patentante,mit,der,riesigen,Torte,NA,0
1,63,163,Die,Nichte,würdigt,die,Patentante,mit,der,riesigen,Torte,VA,0
1,64,164,Der,Ober,mischt,das,Sprudel,mit,dem,trübem,Apfelsaft,VA,0
1,64,164,Der,Ober,verteilt,das,Sprudel,mit,dem,trübem,Apfelsaft,NA,0
1,65,165,Die,Alte,beobachtet,den,Einbrecher,mit,ihrer,ledernen,Handtasche,NA,0
1,65,165,Die,Alte,verprügelt,den,Einbrecher,mit,ihrer,ledernen,Handtasche,VA,0
1,66,166,Der,Optiker,beliefert,einen,Kunden,mit,einer,günstigen,Brille ,VA,0
1,66,166,Der,Optiker,berät,einen,Kunden,mit,einer,günstigen,Brille ,NA,0
1,67,167,Die,Partei,besitzt,eine,Untergruppe,mit,einigen,fraglichen,Argumenten,NA,1
1,67,167,Die,Partei,überzeugt,eine,Untergruppe,mit,einigen,fraglichen,Argumenten,VA,0
1,68,168,Die,Pfadfinder,besorgen,die,Kakteen,mit,den,dünnen,Pipetten,NA,0
1,68,168,Die,Pfadfinder,wässern,die,Kakteen,mit,den,dünnen,Pipetten,VA,0
1,69,169,Die,Pflegerin ,beschenkt,eine,Seniorin,mit,ganz,viel,Liebe,VA,0
1,69,169,Die,Pflegerin,kennt,eine,Seniorin,mit,ganz,viel,Liebe,NA,1
1,70,170,Die,Piraten,erobern,das ,Territorium,mit,den,alten,Schiffen,VA,0
1,70,170,Die,Piraten,verlieren,das ,Territorium,mit,den,alten,Schiffen,NA,0
1,71,171,Der,Platzwart,gießt,das,Gras,mit,einem,gestreiften,Schlauch,VA,0
1,71,171,Der,Platzwart,kauft,das,Gras,mit,einem,gestreiften,Schlauch,NA,1
1,72,172,Die,Politikerin,bezahlt,den,Taxifahrer,mit,der,dreisten,Art ,NA,0
1,72,172,Die,Politikerin,verärgert,den,Taxifahrer,mit,der,dreisten,Art ,VA,0
1,73,173,Der,Polizist,braucht,seinen,Kollegen,mit,dem,anonymen,Telefon ,NA,1
1,73,173,Der,Polizist,verständigt,seinen,Kollegen,mit,dem,anonymen,Telefon ,VA,0
1,74,174,Die,Post,erblickt,den,Container,mit,einem,gelben,Auto,NA,1
1,74,174,Die,Post,liefert,den,Container,mit,einem,gelben,Auto,VA,0
1,75,175,Der,Praktikant,beschmiert,das,Brot,mit,der,organischen,Butter,VA,0
1,75,175,Die,Praktikant,verpackt,das,Brot,mit,der,organischen,Butter,NA,1
1,76,176,Der,Präsident,formt,das,Bündnis,mit,der,privaten,Industrie,VA,0
1,76,176,Der,Präsident,schätzt,das,Bündnis,mit,der,privaten,Industrie,NA,0
1,77,177,Der,Prüfer,sperrt,die,Zone,mit,dem,rot-weißen,Absperrband,VA,0
1,77,177,Der,Prüfer,umfährt,die,Zone,mit,dem,rot-weißen,Absperrband,NA,0
1,78,178,Die,Regierung,führt,einen,Dialog,mit,dem,iranischen,Minister,VA,0
1,78,178,Die,Regierung,verfolgt ,einen,Dialog,mit,dem,iranischen,Minister,NA,0
1,79,179,Die,Reiterin,belohnt,ein,Pferd,mit,einem,neuen,Sattel,VA,0
1,79,179,Die,Reiterin,empfiehlt,ein,Pferd,mit,einem,neuen,Sattel,NA,1
1,80,180,Der,Rennfahrer,überholt,die,Konkurrenz,mit,dem,getunten,Ferrari,VA,0
1,80,180,Der,Rennfahrer,verpfeift,die,Konkurrenz,mit,dem ,getunten,Ferrari,NA,1
1,81,181,Die,Sängerin,beginnt,ihre ,Platte,mit,einem,klassischen,Wagner ,VA,0
1,81,181,Die,Sängerin,verleiht,ihre,Platte,mit,einem,klassischen,Wagner ,NA,1
1,82,182,Die,Schülerin,schreibt,die,Klausur,mit,nur,wenigen,Fehlern,VA,0
1,82,182,Die,Schülerin,zeigt,die,Klausur,mit,nur,wenigen,Fehlern,NA,0
1,83,183,Die,Schwester,beruhigt,die,Mutter,mit,der,aufwändigen,Behandlung,VA,0
1,83,183,Die,Schwester,fürchtet,die,Mutter,mit,der,aufwändigen,Behandlung,NA,0
